text,element_id,sentence_id,word_count,sentiment
"In an effort to be an organisation with unquestionable integrity SARS will not tolerate corrupt staff according to its commissioner Ed Kieswetter

qQcUikUHDT",1,1,23,0.36490022459988086
"The City of Cape Towns Metro Police removes almost a bakkie load of rocks and concrete chunks from the N highway nearly every night which are placed by criminals trying to force motorists to stop

FMPrlUmsN",2,1,36,-0.3416666666666666
"Acting Western Cape police commissioner Lieutenant General Thembisile Patekile has been permanently appointed to this position

awIIOOMbUA",3,1,17,-0.02425356250363329
"Three soldiers behind a failed coup in Gabon inhave been sentenced toyears prison

tfULsgX",4,1,14,-0.4008918628686366
"Video shows water pouring from the ceiling of Florida condo parking garage minutes before it collapsed

RbIcPyLc",5,1,17,-0.19402850002906638
"Adventurers will now have the freedom to make that spontaneous decision and take the exit off the beaten track to explore offroad no matter how rough the terrain looks

RYKkQdxXR",6,1,30,0.09128709291752768
"Princes William and Harry reunited on Thursday to unveil a new statue of their mother Princess Diana on what would have been her th birthday

SGKwDZabWk",7,1,26,0.27456258919345766
"British Princes William and Harry put their differences aside on Thursday to unveil a statue to their late mother Princess Diana on what would have been her th birthday

yETgeMZwYG",8,1,30,0.06390096504226937
"The police are on the hunt for two suspects who were involved in a cashintransit heist outside a mall in Gauteng

LXCdLlRty",9,1,22,-0.15990053726670783
"Zuma supporters say theyre prepared to go to prison for him

vMFkKrOP",10,1,12,0.1587713240271471
"Cristiano Ronaldo can commandmillion per Instagram post says social media analytics firm

uzmXUqT",11,1,13,0
"Former rugby player Zane Kilian seemed to be in high spirits as he entered the dock for the next leg of the protracted bail application of alleged underworld kingpin Nafiz Modack and others for cases that include the murder of detective Charl Kinnear 

nbRcrHkzBO",12,1,44,-0.15075567228888181
"Talented loose forward Hacjivah Dayimani has returned to his roots by signing a longterm contract with Western Province Professional Rugby

mOcmbfzel",13,1,21,0.3600595188893874
"The mayor of the Thulamela Local Municipality in the Vhembe District of Limpopo has been dismissed for his involvement in the infamous VBS scandal which cost the entity millions of rand

eEVYYKWuAT",14,1,32,-0.2386485386504598
"A PPE company which advertised its stance on vaccination on its building has been slapped with a fine for the unauthorised advert while also being investigated

AxrIKpdCT",15,1,27,0.06735753140545633
"ANALYSISJustice Chris Jaftas finding that Public Protector Busisiwe Mkhwebane altered the Executive Ethics Code legislation pivotal to the work of her office will only fuel accusations that she is unfit to remain in her position writes 
zMrfDWrG",16,1,37,0.049319696191607205
"The United States government has announced a U million about Rbn investment plan for Aspen Pharmacare to secure enough vaccines for the African continent

RcNVjOMs",17,1,25,0.05
"More Covid vaccines are expected to be redirected to rural areas in the Western Cape in the coming weeks as the province aims for equitable access to its vaccination rollout programme

GKnSYNce",18,1,32,0.1414213562373095
"The Department of International Relations and Cooperation urged eSwatini activists and political actors to resolve the crisis while the ANC backed calls for multiparty democracy in the country

NbAVicyOG",19,1,29,0.1485562705416415
"The report was borne from complaints received about a question posed by thenDA leader Mmusi Maimane to Ramaphosa in Parliament in

OoKzROCTD",20,1,22,-0.08528028654224418
"CEO Andre Bothma hopes the move will encourage others to get in on the growing market

ENLGFSdDY",21,1,17,0.5214515938281159
"WATCH LIVESEMINAR Harnessing the benefits of a SADC Standby Force in Mozambique

uwRMMxZG",22,1,13,0.11094003924504584
"Survival experts explain what it would take to survive a building collapse like one in Surfside Florida

LeVHWPbXN",23,1,18,0.2946278254943948
"CSA chair Lawson Naidoo would like to see the Proteas leading the global fight against racial discrimination but said the teams kneeling stance must be respected

UcTkaX",24,1,27,0.3174464230094292
