X1,created_at,text,sentence_id,word_count,sentiment
1,2021-07-01T18:02:39Z,"In an effort to be an organisation with unquestionable integrity SARS will not tolerate corrupt staff according to its commissioner Ed Kieswetter

qQcUikUHDT",1,23,0.36490022459988086
2,2021-07-01T17:56:27Z,"The City of Cape Towns Metro Police removes almost a bakkie load of rocks and concrete chunks from the N highway nearly every night which are placed by criminals trying to force motorists to stop

FMPrlUmsN",1,36,-0.3416666666666666
3,2021-07-01T17:46:46Z,"Acting Western Cape police commissioner Lieutenant General Thembisile Patekile has been permanently appointed to this position

awIIOOMbUA",1,17,-0.02425356250363329
4,2021-07-01T17:45:13Z,"Three soldiers behind a failed coup in Gabon inhave been sentenced toyears prison

tfULsgX",1,14,-0.4008918628686366
5,2021-07-01T17:30:31Z,"Video shows water pouring from the ceiling of Florida condo parking garage minutes before it collapsed

RbIcPyLc",1,17,-0.19402850002906638
6,2021-07-01T17:15:13Z,"Adventurers will now have the freedom to make that spontaneous decision and take the exit off the beaten track to explore offroad no matter how rough the terrain looks

RYKkQdxXR",1,30,0.09128709291752768
7,2021-07-01T17:14:56Z,"Princes William and Harry reunited on Thursday to unveil a new statue of their mother Princess Diana on what would have been her th birthday

SGKwDZabWk",1,26,0.27456258919345766
8,2021-07-01T17:02:12Z,"British Princes William and Harry put their differences aside on Thursday to unveil a statue to their late mother Princess Diana on what would have been her th birthday

yETgeMZwYG",1,30,0.06390096504226937
9,2021-07-01T16:54:15Z,"The police are on the hunt for two suspects who were involved in a cashintransit heist outside a mall in Gauteng

LXCdLlRty",1,22,-0.15990053726670783
10,2021-07-01T16:51:01Z,"Zuma supporters say theyre prepared to go to prison for him

vMFkKrOP",1,12,0.1587713240271471
11,2021-07-01T16:45:11Z,"Cristiano Ronaldo can commandmillion per Instagram post says social media analytics firm

uzmXUqT",1,13,0
12,2021-07-01T16:37:24Z,"Former rugby player Zane Kilian seemed to be in high spirits as he entered the dock for the next leg of the protracted bail application of alleged underworld kingpin Nafiz Modack and others for cases that include the murder of detective Charl Kinnear 

nbRcrHkzBO",1,44,-0.15075567228888181
13,2021-07-01T16:36:20Z,"Talented loose forward Hacjivah Dayimani has returned to his roots by signing a longterm contract with Western Province Professional Rugby

mOcmbfzel",1,21,0.3600595188893874
14,2021-07-01T16:21:52Z,"The mayor of the Thulamela Local Municipality in the Vhembe District of Limpopo has been dismissed for his involvement in the infamous VBS scandal which cost the entity millions of rand

eEVYYKWuAT",1,32,-0.2386485386504598
15,2021-07-01T16:02:22Z,"A PPE company which advertised its stance on vaccination on its building has been slapped with a fine for the unauthorised advert while also being investigated

AxrIKpdCT",1,27,0.06735753140545633
16,2021-07-01T15:57:22Z,"ANALYSISJustice Chris Jaftas finding that Public Protector Busisiwe Mkhwebane altered the Executive Ethics Code legislation pivotal to the work of her office will only fuel accusations that she is unfit to remain in her position writes 
zMrfDWrG",1,37,0.049319696191607205
17,2021-07-01T15:56:11Z,"The United States government has announced a U million about Rbn investment plan for Aspen Pharmacare to secure enough vaccines for the African continent

RcNVjOMs",1,25,0.05
18,2021-07-01T15:45:09Z,"More Covid vaccines are expected to be redirected to rural areas in the Western Cape in the coming weeks as the province aims for equitable access to its vaccination rollout programme

GKnSYNce",1,32,0.1414213562373095
19,2021-07-01T15:44:45Z,"The Department of International Relations and Cooperation urged eSwatini activists and political actors to resolve the crisis while the ANC backed calls for multiparty democracy in the country

NbAVicyOG",1,29,0.1485562705416415
20,2021-07-01T15:41:47Z,"The report was borne from complaints received about a question posed by thenDA leader Mmusi Maimane to Ramaphosa in Parliament in

OoKzROCTD",1,22,-0.08528028654224418
21,2021-07-01T15:30:29Z,"CEO Andre Bothma hopes the move will encourage others to get in on the growing market

ENLGFSdDY",1,17,0.5214515938281159
22,2021-07-01T15:26:14Z,"WATCH LIVESEMINAR Harnessing the benefits of a SADC Standby Force in Mozambique

uwRMMxZG",1,13,0.11094003924504584
23,2021-07-01T15:15:15Z,"Survival experts explain what it would take to survive a building collapse like one in Surfside Florida

LeVHWPbXN",1,18,0.2946278254943948
24,2021-07-01T15:01:59Z,"CSA chair Lawson Naidoo would like to see the Proteas leading the global fight against racial discrimination but said the teams kneeling stance must be respected

UcTkaX",1,27,0.3174464230094292
25,2021-07-01T14:45:37Z,"South African musician Steve Kekana has died at the age of

EhKhUjpcB",1,12,-0.14433756729740646
26,2021-07-01T14:45:08Z,"Mop up operations has started across Cape Town after a massive storm wreaked havoc across informal settlements

uueCIXMqlJ",1,18,-0.9545941546018392
27,2021-07-01T14:39:06Z,"South Africa is considering buying more AstraZeneca coronavirus vaccines to combat the spread of the Delta variant of the illness four months after selling one million of the doses

dbJOmOS",1,30,-0.30124740662784133
28,2021-07-01T14:34:21Z,"DA leader John Steenhuisen says a cadre of journalists and commentators are suckers for anything that makes the party look just as bad as the ANC

AIRiDyV",1,27,-0.09622504486493763
29,2021-07-01T14:33:42Z,"President Cyril Ramaphosas lawyer Peter Harris and his former campaign manager Bejani Chauke have welcomed the Constitutional Court judgment saying Ramaphosa has been vindicated

AwHGhkmo",1,25,0.36
30,2021-07-01T14:30:25Z,"Inmates are set to clean the streets of Pietermaritzburg Msunduzi Municipality will sign a memorandum of understanding with the correctional services department on Friday for this to happen

UbaIkTKj",1,29,0.17641057126819928
31,2021-07-01T14:15:10Z,"Reasons employers can require your medical info for vaccine purposes U what you need to know

sjkdAIh",1,17,0
32,2021-07-01T14:01:26Z,"Medical and legal professionals should be the only ones deciding whether the local government elections should go ahead amid the Covid pandemic because political parties have a vested interest African Content Movement leader Hlaudi Motsoeneng has said
HAruwXJbd",1,38,0.1459992790176863
33,2021-07-01T13:50:52Z,"Former ANC councillor in the Nelson Mandela Bay municipality Andile Lungisa is calling for a nationwide shutdown in support of former president Jacob Zuma

qcJWTmRgP",1,25,0.1
34,2021-07-01T13:45:06Z,"Agri SA executive director Christo van der Rheede says vaccination for the agriculture sector is crucial to avoid a mass pandemic outbreak in the sector

hEolDEzjc",1,26,-0.42164969054709567
35,2021-07-01T13:33:46Z,"Covid cases in the Western Cape have surpassed the number of infections recorded in the province during the first Covid wave

uJyLWbhJ",1,22,-0.21320071635561041
36,2021-07-01T13:32:29Z,"Veli Mashinini is back behind bars this week after the Magistrates Court convicted him of stock theftwhile out on parole for having committed the same crime previously

UFgjmwleN",1,28,-0.0472455591261534
37,2021-07-01T13:30:22Z,"Calvin Fisher dissects the lengthy name of ChinaUs best bakkie And he also drives it

sRwmuIb",1,16,0.0625
38,2021-07-01T13:26:39Z,"Former Kaizer Chiefs midfielder Reneilwe Yeye Letsholonyane has officially retired from football at the age of

UxLqKSGt",1,17,0
39,2021-07-01T13:15:10Z,"Afterdays in hospitalof which were spent in ICU Orient Heights resident Ally Khan finally went home on Wednesday

SsVTlzvC",1,19,0.21794494717703367
40,2021-07-01T13:01:05Z,"OPINIONContrary to popular opinion the ruling does not pose a challenge for the country but rather for the ANC which has to choose between what is right for the country and pandering to the whims of its warring factions writes

QRVsFW",1,41,0.023426064283290915
41,2021-07-01T12:45:06Z,"Businesses on Cape Towns iconic Long Street fear the latest lockdown will turn the stretch into a ghost town Several businesses have been forced to adjust to the new stricter regulations while others have opted to remain closed for the duration

TveDObIx",1,42,-0.16201851746019647
42,2021-07-01T12:43:47Z,"Greyling said the gross national happiness index which measures the mood of South Africans showed the nation had experienced considerable mood swings in the last few days of June

jJYOgPRf",1,30,0.0821583836257749
43,2021-07-01T12:30:17Z,"Billions of rands that investors have lost to cryptocurrency scams like the Cajee brothers Africrypt and Mirror Trading International have the government worried about how vulnerable South Africans are as digital currencies take over the world

cURxXgfp",1,37,-0.41099746826339323
44,2021-07-01T12:15:05Z,"Kaizer Chiefs have announced on Thursday morning the appointment of Kaizer Motaung Jr as the clubs sporting director

YquHiXIFL",1,19,0.057353933467640436
45,2021-07-01T12:10:34Z,"The Constitutional Court has found that President Cyril Ramaphosa neither wilfully mislead Parliament about a Rdonation from Bosasa CEO Gavin Watson nor did he personally benefit from donations made to his CR campaign for the ANC presidency

CqvZhLwbo",1,38,0.18655463430037691
46,2021-07-01T12:00:56Z,"Jamie Spears father of Britney Spears has asked for an investigation of the pop superstars claims that she had been mistreated under a legal conservatorship

aErHMhj",1,26,-0.14708710135363803
47,2021-07-01T12:00:52Z,"The donations to the CR campaign became a point of contention in the ANC with Cyril Ramaphosas detractors saying to his face in party meetings that he Ubought his Presidency writes

LSBZKfslq",1,32,-0.044194173824159216
48,2021-07-01T11:50:28Z,"Addressing the CaboDelgado crisis what are the prospectsoptions for SADCUs Standby Force in Mozambique 

Seminar with speakers Dr Agostinho Zacarias Martin EwiProf Abel Esterhuyse

 Julypm
RSVPGotMZxVM",1,26,-0.2647567824365485
49,2021-07-01T11:45:07Z,"Junior doctors who have been awaiting placement at public health facilities for mandatory internships are losing patience with the national Department of Health

HGeMIkLC",1,24,-0.1735055234471418
50,2021-07-01T11:31:46Z,"LIVECovid Aspen to receive U million longterm loan as part of Africa vaccine support

NSqOjTeW",1,15,0.12909944487358055
51,2021-07-01T11:30:18Z,"The AuditorGeneral has slammed a deliberate lack of accountability by political and administrative leadership in the Free State whosemunicipalities owe Eskom and local water boards more than R billion

lnyczxu",1,30,0.10041580220928047
52,2021-07-01T11:15:05Z,"The late Proteas team manager Goolam Rajah didnt come across many players of colour in the national team in the suntil Makhaya Ntini made his presence felt in Australia in

mYrogNBPw",1,31,0.026940795304016243
53,2021-07-01T11:09:17Z,"LIVECovid Media briefing on US support for vaccine manufacturing and production in Africa

udGMmMqu",1,14,0.16035674514745463
54,2021-07-01T11:03:35Z,"JUST IN
ConCourt dismisseschallenge to the invalidation of her report on President Ramaphosas CR campaign finances 
Chief Justice Mogoeng dissentsand finds that Ramaphosa does have duty to disclose his donors",1,30,0.036514837167011066
55,2021-07-01T11:00:54Z,"India has signalled alarm over Delta Plus which is closely related to the Delta variant of concern that has spread worldwide HereUs what we know

agrIkqDgc",1,26,-0.2647567824365485
